Model,R2,MAE,RMSE
Linear Regression,0.6545985830060085,28515.935583725477,47985.01910206148
Ridge,0.6545911124547321,28516.119870123464,47985.538023799716
Lasso,-0.18836782275519393,56294.60070204781,89005.95339939286
Decision Tree,0.3295302130947523,37877.73681252344,66854.89648044897
Random Forest,0.6367994487881783,28963.41802771087,49205.864239491006
Gradient Boosting,0.6561008197293303,28464.647809680155,47880.55599917642
